id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,electorate,electoraterating
4848,3043,TULLAMARINE,VIC,144.888368,-37.691916,NIDDRIE DC,Delivery Area,Updated 6-Feb-2020,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,R1,-37.6994841,144.8803113,21005125012,21005125012,210051250,Tullamarine,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,1,1,1,1,Calwell,,V1,PHN201,North Western Melbourne,Moreland,Maribyrnong,Inner Metropolitan
4849,3044,PASCOE VALE,VIC,144.936356,-37.731138,PRESTON DC,Delivery Area,Updated 6-Feb-2020,21003,Moreland - North,210,Melbourne - North West,R1,-37.727,144.942,21003123943,21003123943,210031239,Pascoe Vale,21003,Moreland - North,210,Melbourne - North West,1,1,1,1,Wills,67.53238678,V1,PHN201,North Western Melbourne,Moreland,Wills,Inner Metropolitan
4850,3044,PASCOE VALE SOUTH,VIC,144.936356,-37.731138,PRESTON DC,Delivery Area,Updated 6-Feb-2020,21003,Moreland - North,210,Melbourne - North West,R1,-37.7457735,144.9384576,20601110916,20601110916,206011109,Pascoe Vale South,20601,Brunswick - Coburg,206,Melbourne - Inner,1,1,1,1,Wills,67.53238678,V1,PHN201,North Western Melbourne,Moreland,Wills,Inner Metropolitan
4851,3045,MELBOURNE AIRPORT,VIC,144.836195,-37.674739,NIDDRIE DC,Delivery Area,Updated 6-Feb-2020,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,R1,-37.6679317,144.8401227,21005124801,21005124801,210051248,Melbourne Airport,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,1,1,1,1,Calwell,104.7266235,V1,PHN201,North Western Melbourne,Hume,Calwell,Outer Metropolitan
4852,3046,GLENROY,VIC,144.927968,-37.706578,PRESTON DC,Delivery Area,Updated 6-Feb-2020,21003,Moreland - North,210,Melbourne - North West,R1,-37.7062465,144.9161373,21003123851,21003143818,210031438,Glenroy,21003,Moreland - North,210,Melbourne - North West,1,1,1,1,Wills,,V1,PHN201,North Western Melbourne,Moreland,Wills,Inner Metropolitan
4853,3046,HADFIELD,VIC,144.927968,-37.706578,PRESTON DC,Delivery Area,Updated 6-Feb-2020,21003,Moreland - North,210,Melbourne - North West,R1,-37.71,144.95,21003123833,21003144008,210031440,Hadfield,21003,Moreland - North,210,Melbourne - North West,1,1,1,1,Wills,,V1,PHN201,North Western Melbourne,Moreland,Wills,Inner Metropolitan
4854,3046,OAK PARK,VIC,144.927968,-37.706578,PRESTON DC,Delivery Area,Updated 6-Feb-2020,21003,Moreland - North,210,Melbourne - North West,R1,-37.718,144.919,21003123925,21003123925,210031239,Pascoe Vale,21003,Moreland - North,210,Melbourne - North West,1,1,1,1,Wills,,V1,PHN201,North Western Melbourne,Moreland,Wills,Inner Metropolitan
4855,3047,BROADMEADOWS,VIC,144.930247,-37.681105,SOMERTON DC,Delivery Area,Updated 6-Feb-2020,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,R1,-37.6860869,144.9269889,21005124217,21005124217,210051242,Broadmeadows,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,1,1,1,1,Calwell,,V1,PHN201,North Western Melbourne,Moreland,Calwell,Outer Metropolitan
4856,3047,DALLAS,VIC,144.930247,-37.681105,SOMERTON DC,Delivery Area,Updated 6-Feb-2020,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,R1,-37.668,144.94,21005124313,21005124313,210051243,Campbellfield - Coolaroo,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,1,1,1,1,Calwell,,V1,PHN201,North Western Melbourne,Moreland,Calwell,Outer Metropolitan
4857,3047,JACANA,VIC,144.930247,-37.681105,SOMERTON DC,Delivery Area,Updated 6-Feb-2020,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,R1,-37.687232,144.9128564,21005124214,21005124214,210051242,Broadmeadows,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,1,1,1,1,Calwell,,V1,PHN201,North Western Melbourne,Moreland,Calwell,Outer Metropolitan
4858,3048,COOLAROO,VIC,144.923609,-37.653917,SOMERTON DC,Delivery Area,Updated 6-Feb-2020,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,R1,-37.6562333,144.9364069,21005124303,21005124303,210051243,Campbellfield - Coolaroo,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,1,1,1,1,Calwell,136.826004,V1,PHN201,North Western Melbourne,Hume,Calwell,Outer Metropolitan
4859,3048,MEADOW HEIGHTS,VIC,144.923609,-37.653917,SOMERTON DC,Delivery Area,Updated 6-Feb-2020,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,R1,-37.65,144.922,21005124702,21005124702,210051247,Meadow Heights,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,1,1,1,1,Calwell,136.826004,V1,PHN201,North Western Melbourne,Hume,Calwell,Outer Metropolitan
4860,3049,ATTWOOD,VIC,144.888492,-37.673182,SOMERTON DC,Delivery Area,Updated 6-Feb-2020,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,R1,-37.666,144.887,21005124536,21005124536,210051245,Gladstone Park - Westmeadows,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,1,1,1,1,Calwell,,V1,PHN201,North Western Melbourne,Hume,Calwell,Outer Metropolitan
4861,3049,WESTMEADOWS,VIC,144.888492,-37.673182,SOMERTON DC,Delivery Area,Updated 6-Feb-2020,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,R1,-37.6779426,144.8843087,21005124510,21005124510,210051245,Gladstone Park - Westmeadows,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,1,1,1,1,Calwell,,V1,PHN201,North Western Melbourne,Hume,Calwell,Outer Metropolitan
4862,3050,ROYAL MELBOURNE HOSPITAL,VIC,144.954581,-37.800324,CARLTON DC,Delivery Area,Updated 6-Feb-2020,20604,Melbourne City,206,Melbourne - Inner,R1,-37.7989153,144.95617,20604112411,20604112411,206041124,Parkville,20604,Melbourne City,206,Melbourne - Inner,1,1,1,1,Melbourne,26.05269241,V1,PHN201,North Western Melbourne,Moreland,Wills,
4863,3051,HOTHAM HILL,VIC,144.943559,-37.8006,Melbourne Metro,,Updated 6-Feb-2020,20604,Melbourne City,206,Melbourne - Inner,R1,-37.8009,144.953,20604112312,20604112312,206041123,North Melbourne,20604,Melbourne City,206,Melbourne - Inner,1,1,1,1,Melbourne,8.052423477,V1,PHN201,North Western Melbourne,Moonee Valley,Melbourne,Inner Metropolitan
4864,3051,NORTH MELBOURNE,VIC,144.943559,-37.8006,CITY DELIVERY CENTRE,Delivery Area,Updated 6-Feb-2020,20604,Melbourne City,206,Melbourne - Inner,R1,-37.7983816,144.9419122,20604112324,20604112324,206041123,North Melbourne,20604,Melbourne City,206,Melbourne - Inner,1,1,1,1,Melbourne,8.052423477,V1,PHN201,North Western Melbourne,Moonee Valley,Melbourne,Inner Metropolitan
4865,3052,MELBOURNE UNIVERSITY,VIC,144.948903,-37.788996,CARLTON DC,Delivery Area,Updated 6-Feb-2020,20604,Melbourne City,206,Melbourne - Inner,R1,-37.7983459,144.960974,20604112407,20604112407,206041124,Parkville,20604,Melbourne City,206,Melbourne - Inner,1,1,1,1,Melbourne,32.18020248,V1,PHN201,North Western Melbourne,Moreland,Melbourne,Inner Metropolitan
4866,3052,PARKVILLE,VIC,144.948903,-37.788996,CARLTON DC,Delivery Area,Updated 6-Feb-2020,20604,Melbourne City,206,Melbourne - Inner,R1,-37.7862363,144.9474178,20604112403,20604112403,206041124,Parkville,20604,Melbourne City,206,Melbourne - Inner,1,1,1,1,Melbourne,32.18020248,V1,PHN201,North Western Melbourne,Moreland,Melbourne,Inner Metropolitan
